player_id,player name,to_club,to_league
3207,Thierry Henry,LaLiga,España
7717,José Antonio Reyes,LaLiga,España
23914,Lassana Diarra,Premier League,Inglaterra
35586,Fabrice Muamba,Premier League,Inglaterra
3134,Freddie Ljungberg,Premier League,Inglaterra
3266,Jérémie Aliadière,Premier League,Inglaterra
26239,Pedro Botelho,2ª División,España
3715,Mart Poom,Championship,Inglaterra
22227,Arturo Lupoli,Serie A,Italia
3206,Ryan Garry,League One,Inglaterra
44797,Joe O'Cearuill,League Two,Inglaterra
34561,Johan Djourou,Premier League,Inglaterra
42920,Fran Mérida,2ª División,España
35773,Carlos Vela,LaLiga,España
34562,Kerrea Gilbert,League One,Inglaterra
44799,Mark Randall,Championship,Inglaterra
44792,Kieran Gibbs,Championship,Inglaterra
15952,Júlio Baptista,LaLiga,España
