player_id,player_name,from_club
423440,Martín Zubimendi,LaLiga
479999,Eberechi Eze,Premier League
325443,Viktor Gyökeres,Liga Portugal
503987,Noni Madueke,Premier League
646750,Cristhian Mosquera,LaLiga
148367,Christian Nørgaard,Premier League
192279,Kepa Arrizabalaga,Premier League
659813,Piero Hincapié,Bundesliga
1187629,Max Dowman,U18 Premier League
535955,Nuno Tavares,Serie A
537598,Fábio Vieira,Liga Portugal
340325,Reiss Nelson,Premier League
203853,Oleksandr Zinchenko,Premier League
381967,Albert Sambi Lokonga,LaLiga
668268,Marquinhos,Série A
493513,Karl Hein,LaLiga
