player_id,player_name,from_club,amount
20002,Rolando Schiavi,AA Argentinos Juniors,0
19963,Diego Crosa,Real Betis Balompié,0
102187,Abel Balbo,AS Roma,0
3367,Jorginho Paulista,Clube de Regatas Vasco da Gama,0
99175,Jonathan Fabbro,RCD Mallorca,0
30713,Jorge Martínez,CA Independiente,0
19190,Héctor Bracamonte,CD Badajoz,0
2880,Naohiro Takahara,Júbilo Iwata,0
119679,Ezequiel Molina,Boca Juniors U20,0
30852,César González,Boca Juniors U20,0
30919,Miguel Caneo,Boca Juniors U20,0
4276,Carlos Tevez,Boca Juniors U20,0
72046,Juan Manuel Aróstegui,CA Belgrano,0
53337,Alfredo Moreno,Club Necaxa,0
72046,Juan Manuel Aróstegui,Universidad San Carlos,0
19954,Héctor Carballo,CD Motagua Tegucigalpa,0
33708,Esteban Herrera,CA Talleres,0
30918,Pablo Bonvín,Newcastle United,0
