player_id,player name,to_club,to_league
15646,Sebastián Battaglia,LaLiga,España
53751,Walter Gaitán,Liga MX Apertura,México
39086,Marcelo Delgado,Liga MX Apertura,México
6862,Óscar Córdoba,Süper Lig,Turquía
19190,Héctor Bracamonte,Premier Liga,Rusia
53337,Alfredo Moreno,Liga MX Apertura,México
43391,Róbert Waltner,Cyprus League,Chipre
26725,Matías Arce,,Argentina
183105,Mauro Astrada,2ª B - Grupo III,España
33708,Esteban Herrera,Serie B,Italia
70180,Aldo Andres Mores,Super League,Indonesia
19271,Gustavo Pinto,Premier Liga,Rusia
74425,Omar Pérez,Torneo Clausura,Argentina
28085,Christian Giménez,Torneo Clausura,Argentina
119679,Ezequiel Molina,Torneo Clausura,Argentina
119023,Edilio Cardoso,,Argentina
94487,José Galván,NB I.,Hungría
102194,Silvio Dulcich,MLS,Estados Unidos
1132116,Gabriel Christovao,Torneo Clausura,Argentina
21828,Mauro Zanotti,Serie B,Italia
30918,Pablo Bonvín,,Argentina
99175,Jonathan Fabbro,,Colombia
28753,Juan Pablo Caffa,,Argentina
30746,Martín Andrizzi,Torneo Clausura,Argentina
19956,Ariel Carreño,Torneo Clausura,Argentina
27674,César La Paglia,2ª División,España
30852,César González,Torneo Clausura,Argentina
19054,Ezequiel González,Serie B,Italia
6985,Hugo Ibarra,Liga Portugal,Portugal
