player_id,player_name,from_club
26247,Jesús Méndez,Torneo Clausura
60889,Gary Medel,Torneo Clausura
4193,Federico Insúa,Liga MX Apertura
23193,Luiz Alberto,Série A
61504,Sebastián Prediger,Liga Portugal
53110,Matías Giménez,Torneo Clausura
26471,Ariel Rosada,2ª División
74405,Bréyner Bonilla,N/A
76699,Adrián Gunino,Liga AUF Clausura
74405,Bréyner Bonilla,N/A
59596,Lucas Pratto,N/A
45328,Santiago Villafañe,N/A
118283,Cristian Erbes,N/A
169249,Juan Sánchez Miño,N/A
67084,Fabián Monzón,LaLiga
26442,Leandro Gracián,Super League 1
45310,Matías Cahais,Torneo Clausura
39098,Pablo Migliore,Torneo Clausura
26465,Guillermo Marino,Liga MX Apertura
52907,Marcos Mondaini,Liguilla Pre-Libertadores
