player_id,player name,to_club,amount
906748,Vicente Taborda,Panathinaikos FC,4300000
459467,Jorman Campuzano,Atlético Nacional,1450000
698323,Oscar Salomón,CA Newell's Old Boys,860000
613364,Tomás Fernández,CA Aldosivi,Libre / Cesión
419660,Nazareno Solís,CS Deportivo Madryn,Libre / Cesión
93176,Marcos Rojo,Racing Club,Libre / Cesión
30690,Sergio Romero,AA Argentinos Juniors,Libre / Cesión
103890,Luis Advíncula,Club Alianza Lima,Libre / Cesión
830479,Gastón Gerzel,FK FAP Priboj,Libre / Cesión
911997,Érik Bodencer,Llaneros FC,Libre / Cesión
156561,Frank Fabra,Independiente Medellín,Libre / Cesión
911961,Rodrigo Montes,Club Deportivo Rincón,Libre / Cesión
814270,Israel Escalante,CD Municipal Limeño,Libre / Cesión
668549,Brian Aguirre,Club Estudiantes de La Plata,Libre / Cesión
441385,Gonzalo Maroni,CA Barracas Central,Libre / Cesión
373916,Marcelo Saracchi,Celtic FC,Libre / Cesión
757175,Maximiliano Zalazar,Club de Gimnasia y Esgrima La Plata,Libre / Cesión
912009,Simón Rivero,CA Tigre,Libre / Cesión
1149569,Julián Ceballos,CA Gimnasia y Esgrima (Mendoza),Libre / Cesión
830783,Lucas Brochero,CA San Miguel,Libre / Cesión
1149566,Ignacio Rodríguez,CA Atlanta,Libre / Cesión
457218,Norberto Briasco,CA Barracas Central,Libre / Cesión
911962,Gabriel Aranda,CA Racing (Córdoba),Libre / Cesión
912008,Nahuel Genez,CA Patronato,Libre / Cesión
1197773,Mateo Mendía,CA Platense,Libre / Cesión
491706,Agustín Obando,AMSD Atlético de Rafaela,Libre / Cesión
1236679,Santiago Dalmasso,CA Platense,Libre / Cesión
911960,Agustín Lastra,AA Estudiantes (Río Cuarto),Libre / Cesión
906751,Sebastián Díaz Robles,CA San Martín (San Juan),Libre / Cesión
1182161,Valentino Simoni,CA Gimnasia y Esgrima (Mendoza),Libre / Cesión
399887,Esteban Rolón,Sin equipoSin equipo,Libre / Cesión
335768,Bruno Valdez,Sin equipoSin equipo,Libre / Cesión
147128,Cristian Lema,Sin equipoSin equipo,Libre / Cesión
836518,Ignacio Miramón,LOSC Lille,Libre / Cesión
