player_id,número,nombre y apellido,posicion,edad,fecha de nacimiento,pie,pais de orígen,altura,valor,club anterior
982633,12,Leandro Brey,Portero,23,21/09/2002,Derecho,Argentina,191,1300000,CA Los Andes
54534,1,Agustín Marchesín,Portero,37,16/03/1988,Derecho,Argentina,188,700000,Grêmio Foot-Ball Porto Alegrense
7966,13,Javier García,Portero,39,29/01/1987,Derecho,Argentina,180,25000,Racing Club
1019744,2,Lautaro Di Lollo,Defensa central,21,10/03/2004,Derecho,Argentina,187,6000000,CA Boca Juniors II
842910,32,Ayrton Costa,Defensa central,26,12/07/1999,Izquierdo,Argentina,179,5000000,Royal Amberes FC
776303,26,Marco Pellegrino,Defensa central,23,18/07/2002,Izquierdo,Argentina,184,3800000,AC Milan
334055,4,Nicolás Figal,Defensa central,31,03/04/1994,Derecho,Argentina,180,350000,Inter Miami CF
570420,-,Agustín Heredia,Defensa central,28,16/06/1997,Derecho,Argentina,192,150000,CA Boca Juniors II
831161,3,Lautaro Blanco,Lateral izquierdo,26,19/02/1999,Izquierdo,Argentina,176,3800000,Elche CF
701491,24,Juan Barinaga,Lateral derecho,25,10/10/2000,Derecho,Argentina,176,3500000,CA Belgrano
491690,23,Marcelo Weigandt,Lateral derecho,26,11/01/2000,Derecho,Argentina,175,2000000,CA Boca Juniors II
503348,17,Lucas Blondel,Lateral derecho,29,14/09/1996,Derecho,Suiza,178,1200000,CA Tigre
954603,-,Pedro Velurtas,Lateral derecho,24,28/08/2001,Derecho,Argentina,176,25000,CA Boca Juniors II
423436,25,Santiago Ascacíbar,Pivote,28,25/02/1997,Derecho,Argentina,169,7000000,Club Estudiantes de La Plata
1236677,18,Milton Delgado,Pivote,20,16/06/2005,Derecho,Argentina,166,6000000,CA Boca Juniors II
166237,5,Leandro Paredes,Pivote,31,29/06/1994,Derecho,Argentina,180,5000000,AS Roma
483446,30,Tomás Belmonte,Pivote,27,27/05/1998,Derecho,Argentina,181,3500000,Deportivo Toluca FC
89297,6,Rodrigo Battaglia,Pivote,34,12/07/1991,Derecho,Argentina,187,800000,Clube Atlético Mineiro
1000671,38,Camilo Rey Domenech,Pivote,19,10/03/2006,Derecho,Argentina,178,400000,Boca Juniors U20
599552,15,Williams Alarcón,Mediocentro,25,29/11/2000,Derecho,Chile,182,4000000,CA Huracán
99343,21,Ander Herrera,Mediocentro,36,14/08/1989,Derecho,España,182,500000,Athletic Club
190756,-,Juan Ramírez,Mediocentro,32,25/05/1993,Izquierdo,Argentina,174,225000,CA San Lorenzo de Almagro
552185,27,Malcom Braida,Interior izquierdo,28,17/05/1997,Derecho,Argentina,175,3000000,CA San Lorenzo de Almagro
571219,8,Carlos Palacios,Mediocentro ofensivo,25,20/07/2000,Derecho,Chile,180,4000000,CSD Colo-Colo
732507,19,Agustín Martegani,Mediocentro ofensivo,25,20/05/2000,Izquierdo,Argentina,182,500000,CA San Lorenzo de Almagro
829966,22,Kevin Zenón,Extremo izquierdo,24,30/07/2001,Izquierdo,Argentina,181,5500000,CA Unión (Santa Fe)
661154,20,Alan Velasco,Extremo izquierdo,23,27/07/2002,Derecho,Argentina,167,3200000,FC Dallas
238448,11,Lucas Janson,Extremo izquierdo,31,16/08/1994,Derecho,Argentina,171,250000,CA Vélez Sarsfield
661132,7,Exequiel Zeballos,Extremo derecho,23,24/04/2002,Derecho,Argentina,175,7000000,CA Boca Juniors II
262262,29,Ángel Romero,Extremo derecho,33,04/07/1992,Derecho,Paraguay,176,900000,SC Corinthians
1236684,41,Iker Zufiaurre,Extremo derecho,20,07/08/2005,Ambidiestro,Argentina,175,50000,CA Boca Juniors II
481367,16,Miguel Merentiel,Delantero centro,29,24/02/1996,Derecho,Uruguay,176,6000000,SE Palmeiras
730779,9,Milton Giménez,Delantero centro,29,12/08/1996,Derecho,Argentina,184,3200000,CA Banfield
48280,10,Edinson Cavani,Delantero centro,38,14/02/1987,Derecho,Uruguay,184,500000,Valencia CF
289149,-,Nicolás Orsini,Delantero centro,31,12/09/1994,Derecho,Argentina,187,400000,CA Lanús
