player_id,player name,to_club,amount
37766,Chris Killen,Oldham Athletic,300000
107083,Laurent Charvet,FC Sochaux-Montbéliard,Libre / Cesión
22754,Karim Kerkar,Al-Sailiya SC,Libre / Cesión
54757,Terry Dunfield,Bury FC,Libre / Cesión
3355,Rhys Day,Mansfield Town,Libre / Cesión
13724,Richard Edghill,Wigan Athletic,Libre / Cesión
5575,Alioune Touré,París Saint-Germain FC,Libre / Cesión
13404,Terry Cooke,Grimsby Town,Libre / Cesión
3317,Jeff Whitley,Notts County,Libre / Cesión
3136,Darren Huckerby,Nottingham Forest,Libre / Cesión
3805,Paul Ritchie,Derby County,Libre / Cesión
101317,Stuart Pearce,N/A,Libre / Cesión
175898,Andy Morrison,N/A,Libre / Cesión
3639,Djamel Belmadi,Olympique de Marsella,Libre / Cesión
4249,Tim Flowers,Leicester City,Libre / Cesión
