player_id,player_name,from_club,amount
583255,Antoine Semenyo,AFC Bournemouth,72000000
460939,Tijjani Reijnders,AC Milan,54900000
578391,Rayan Aït-Nouri,Wolverhampton Wanderers,36800000
607223,Rayan Cherki,Olympique de Lyon,36500000
566799,James Trafford,Burnley FC,31200000
315858,Gianluigi Donnarumma,París Saint-Germain FC,30000000
392757,Marc Guéhi,Crystal Palace,23000000
911736,Sverre Nypan,Rosenborg BK,15000000
116648,Marcus Bettinelli,Chelsea FC,2400000
843595,Max Alleyne,Manchester City U21,Libre / Cesión
203460,Jack Grealish,Everton FC,Libre / Cesión
627228,Yan Couto,Borussia Dortmund,Libre / Cesión
911736,Sverre Nypan,Middlesbrough FC,Libre / Cesión
994536,Claudio Echeverri,Bayer 04 Leverkusen,Libre / Cesión
351749,Kalvin Phillips,Ipswich Town,Libre / Cesión
668547,Máximo Perrone,Como 1907,Libre / Cesión
351749,Kalvin Phillips,Sheffield United,Libre / Cesión
1121298,Juma Bah,RC Lens,Libre / Cesión
95424,Kyle Walker,AC Milan,Libre / Cesión
649452,Issa Kaboré,SV Werder Bremen,Libre / Cesión
576121,Josh Wilson-Esbrand,Stoke City,Libre / Cesión
